drug treatment treatment	0	1.7143	0	
non-insulin blood glucose	0	1.7143	3	Treatment with a single non-insulin blood glucose lowering therapy (monotherapy)	Treatment with 2 non-insulin blood glucose lowering therapies in combination (dual therapy)	Treatment with either 3 non-insulin blood glucose lowering therapies in combination (triple therapy) or any treatment combination containing insulin	
ml minute m2	0	1.6	4	Stop metformin if the eGFR is below 30 ml minute m2.	Stop metformin if the eGFR is below 30 ml minute m2.	In adults with type 2 diabetes, review the dose of metformin if the estimated glomerular filtration rate (eGFR) is below 45 ml minute m2:	Prescribe metformin with caution for those at risk of a sudden deterioration in kidney function and those at risk of eGFR falling below 45 ml minute m2.	
problematic erectile dysfunction	0	1.4631	2	Assess, educate and support men with type 2 diabetes who have problematic erectile dysfunction, addressing contributory factors such as cardiovascular disease as well as possible treatment options.	Consider a phosphodiesterase-5 inhibitor to treat problematic erectile dysfunction in men with type 2 diabetes, initially choosing the drug with the lowest acquisition cost and taking into account any contraindications.	
caribbean family origin	0	1.3245	2	African or Caribbean family origin, or women for whom there is a possibility of becoming pregnant.	Caribbean family origin should be an ACE inhibitor plus either a diuretic or a generic calcium-channel blocker.	
gastrointestinal side effects	0	1.3245	2	Gradually increase the dose of standard-release metformin over several weeks to minimise the risk of gastrointestinal side effects in adults with type 2 diabetes.	If an adult with type 2 diabetes experiences gastrointestinal side effects with standard-release metformin, consider a trial of modified-release metformin.	
first-line antihypertensive drug	0	1.2307000000000001	3	First-line antihypertensive drug treatment should be a once-daily, generic angiotensin-converting enzyme (ACE) inhibitor	The first-line antihypertensive drug treatment for a person of African or	A calcium-channel blocker should be the first-line antihypertensive drug treatment for a woman for whom, after an informed discussion, it is agreed there is a possibility of her becoming pregnant.	
5–10percent individualise recommendations	0	1.3218	0	
low-fat dairy products	0	1.1776	1	Encourage high-fibre, low-glycaemic-index sources of carbohydrate in the diet, such as fruit, vegetables, wholegrains and pulses; include low-fat dairy products and oily fish; and control the intake of foods containing saturated and trans fatty acids.	
antihypertensive drug treatment	0	0.8227999999999999	7	For an adult with type 2 diabetes on antihypertensive drug treatment when diabetes is diagnosed, review blood pressure control and medications used.	Monitor blood pressure every 1–2 months, and intensify therapy if the person is already on antihypertensive drug treatment, until the blood pressure is consistently below 140 80 mmHg (below 130 80 mmHg if there is kidney, eye or cerebrovascular damage).	First-line antihypertensive drug treatment should be a once-daily, generic angiotensin-converting enzyme (ACE) inhibitor	The first-line antihypertensive drug treatment for a person of African or	A calcium-channel blocker should be the first-line antihypertensive drug treatment for a woman for whom, after an informed discussion, it is agreed there is a possibility of her becoming pregnant.	Check for possible adverse effects of antihypertensive drug treatment – including the risks from unnecessarily low blood pressure.	When using tricyclic drugs and antihypertensive drug treatments in adults with type 2 diabetes who have autonomic neuropathy, be aware of the increased likelihood of side effects such as orthostatic hypotension.	
initial drug treatment	0	0.7003999999999999	6	Initial drug treatment	Initial drug treatment	Offer standard-release metformin as the initial drug treatment for adults with type 2 diabetes.	In adults with type 2 diabetes, if metformin is contraindicated or not tolerated, consider initial drug treatment with: a dipeptidyl peptidase-4 (DPP-4) inhibitor or pioglitazone or a sulfonylurea.	In adults with type 2 diabetes, if initial drug treatment with metformin has not continued to control HbA1c to below the person's individually agreed threshold for intensification, consider dual therapy with: metformin and a DPP-4 inhibitor or metformin and pioglitazone or metformin and a sulfonylurea.	In adults with type 2 diabetes, if metformin is contraindicated or not tolerated and initial drug treatment has not continued to control HbA1c to below the person's individually agreed threshold for intensification, consider dual therapy with: a DPP-4 inhibitor and pioglitazone or a DPP-4 inhibitor and a sulfonylurea or pioglitazone and a sulfonylurea.	
drug treatment offer	0	0.8542	0	
low hba1c level	0	0.8542	1	Be aware that there are other possible reasons for a low HbA1c level, for example, deteriorating renal function or sudden weight loss.	
offer standard-release metformin	0	0.8542	1	Offer standard-release metformin as the initial drug treatment for adults with type 2 diabetes.	
sudden weight loss	0	0.8542	1	Be aware that there are other possible reasons for a low HbA1c level, for example, deteriorating renal function or sudden weight loss.	
treatment offer standard-release	0	0.8542	0	
products regulatory agency	0	0.6871999999999999	10	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2017) warned that canagliflozin may increase the risk of lower-limb amputation (mainly toes) in people with type 2 diabetes	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2011) notes that cases of cardiac failure have been reported when pioglitazone was used in combination with insulin, especially in patients with risk factors for the development of cardiac failure	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2014) notes that domperidone is associated with a small increased risk of serious cardiac side effects	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2017) warned that canagliflozin may increase the risk of lower-limb amputation (mainly toes) in people with type 2 diabetes	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2011) notes that cases of cardiac failure have been reported when pioglitazone was used in combination with insulin, especially in patients with risk factors for the development of cardiac failure	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2014) notes that domperidone is associated with a small increased risk of serious cardiac side effects	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2011) advises that 'prescribers should review the safety and efficacy of pioglitazone in individuals after 3–6 months of treatment to ensure that only patients who are deriving benefit continue to be treated'.	Last updated May 2017 safety (see Medicines and Healthcare products Regulatory Agency MHRA guidance) and tolerability of the drug treatment(s) the person's individual clinical circumstances, for example, comorbidities, risks from polypharmacy the person's individual preferences and needs the licensed indications or combinations available cost (if 2 drugs in the same class are appropriate, choose the option with the lowest acquisition cost).	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2011) advises that 'prescribers should review the safety and efficacy of pioglitazone in individuals after 3–6 months of treatment to ensure that only patients who are deriving benefit continue to be treated'.	Medicines and Healthcare products Regulatory Agency (MHRA) guidance (2016) warned that serious, life-threatening, and fatal cases of diabetic ketoacidosis have been reported rarely in people taking an SGLT-2 inhibitor (a substantial proportion of the cases concerned off-label use in people with type 1 diabetes, which is not recommended)	
antihypertensive drug treatments	0	0.7531	1	When using tricyclic drugs and antihypertensive drug treatments in adults with type 2 diabetes who have autonomic neuropathy, be aware of the increased likelihood of side effects such as orthostatic hypotension.	
current medical standards	0	0.6485	3	DVLA guidance (At a glance guide to the current medical standards of fitness to drive) management of hypoglycaemia management of acute changes in plasma glucose control support from an appropriately trained and experienced healthcare professional.	DVLA guidance (At a glance guide to the current medical standards of fitness to drive) management of hypoglycaemia management of acute changes in plasma glucose control support from an appropriately trained and experienced healthcare professional.	Take the Driver and Vehicle Licensing Agency (DVLA) At a glance guide to the current medical standards of fitness to drive into account when offering self-monitoring of blood glucose levels for adults with type 2 diabetes.	
vehicle licensing agency	0	0.6485	1	Take the Driver and Vehicle Licensing Agency (DVLA) At a glance guide to the current medical standards of fitness to drive into account when offering self-monitoring of blood glucose levels for adults with type 2 diabetes.	
erratic blood glucose	0	0.6347999999999999	1	Think about a diagnosis of gastroparesis in adults with type 2 diabetes with erratic blood glucose control or unexplained gastric bloating or vomiting, taking into account possible alternative diagnoses 2009, amended 2015	
blood glucose levels	0	0.40980000000000005	7	In several cases, blood glucose levels were only moderately elevated	In several cases, blood glucose levels were only moderately elevated	Take the Driver and Vehicle Licensing Agency (DVLA) At a glance guide to the current medical standards of fitness to drive into account when offering self-monitoring of blood glucose levels for adults with type 2 diabetes.	Do not routinely offer self-monitoring of blood glucose levels for adults with type 2 diabetes unless: the person is on insulin or there is evidence of hypoglycaemic episodes or the person is on oral medication that may increase their risk of hypoglycaemia while driving or operating machinery or	Consider short-term self-monitoring of blood glucose levels in adults with type 2 diabetes (and review treatment as necessary): when starting treatment with oral or intravenous corticosteroids or to confirm suspected hypoglycaemia.	If adults with type 2 diabetes are self-monitoring their blood glucose levels, carry out a structured assessment at least annually	Consider pre-mixed (biphasic) preparations that include short-acting insulin analogues, rather than pre-mixed (biphasic) preparations that include short-acting human insulin preparations, if: a person prefers injecting insulin immediately before a meal or hypoglycaemia is a problem or blood glucose levels rise markedly after meals.	
chronic kidney disease	0	0.4144	1	NICE guideline on chronic kidney disease in adults.	
diabetic foot problems	0	0.4144	3	Diabetic foot problems	Diabetic foot problems	For guidance on preventing and managing foot problems in adults with type 2 diabetes, see the NICE guideline on diabetic foot problems.	
lifestyle interventions section	0	0.4898	1	Provide lifestyle advice (see section in this guideline and the lifestyle interventions section in hypertension in adults NICE guideline CG127) if blood	
monitor blood pressure	0	0.4898	1	Monitor blood pressure every 1–2 months, and intensify therapy if the person is already on antihypertensive drug treatment, until the blood pressure is consistently below 140 80 mmHg (below 130 80 mmHg if there is kidney, eye or cerebrovascular damage).	
heart failure type	0	0.48630000000000007	0	
nice's guidance	0	0.48630000000000007	1	Treatment with sodium–glucose cotransporter 2 (SGLT-2) inhibitors , may be appropriate for some adults with type 2 diabetes if metformin is contraindicated or not tolerated (see NICE's guidance on canagliflozin, dapagliflozin and empagliflozin as monotherapies for treating type 2 diabetes).	
offer lifestyle advice	0	0.4411999999999999	1	Offer lifestyle advice and drug treatment to support adults with type 2 diabetes to achieve and maintain their HbA1c target (see section )	
insulin delivery section	0	0.39039999999999997	1	For guidance on insulin delivery for adults with type 2 diabetes, see the insulin delivery section in the NICE guideline on type 1 diabetes.	
blood glucose control	0	0.31789999999999996	6	If HbA1c monitoring is invalid because of disturbed erythrocyte turnover or abnormal haemoglobin type, estimate trends in blood glucose control using one	If HbA1c monitoring is invalid because of disturbed erythrocyte turnover or abnormal haemoglobin type, estimate trends in blood glucose control using one	Last updated May 2017 on a case-by-case basis, with particular consideration for people who are older or frail, for adults with type 2 diabetes: who are unlikely to achieve longer-term risk-reduction benefits, for example, people with a reduced life expectancy for whom tight blood glucose control poses a high risk of the consequences of hypoglycaemia, for example, people who are at risk of falling, people who have impaired awareness of hypoglycaemia, and people who drive or operate machinery as part of their job for whom intensive management would not be appropriate, for example, people with significant comorbidities.	If an adult with type 2 diabetes is symptomatically hyperglycaemic, consider insulin (see recommendations – ) or a sulfonylurea, and review treatment when blood glucose control has been achieved.	Monitor adults with type 2 diabetes who are on pre-mixed (biphasic) insulin for the need for a further injection of short-acting insulin before meals or for a change to a basal bolus regimen with NPH insulin or insulin detemir or insulin glargine , if blood glucose control remains inadequate.	Think about a diagnosis of gastroparesis in adults with type 2 diabetes with erratic blood glucose control or unexplained gastric bloating or vomiting, taking into account possible alternative diagnoses 2009, amended 2015	
diabetes healthcare team	0	0.38070000000000004	1	Ensure that all members of the diabetes healthcare team are familiar with the patient-education programmes available locally, that these programmes are integrated with the rest of the care pathway, and that adults with type 2 diabetes and their family members or carers (as appropriate) have the opportunity to contribute to the design and provision of local programmes.	
hba1c target encourage	0	0.36249999999999993	0	
individual hba1c target	0	0.36249999999999993	1	Involve adults with type 2 diabetes in decisions about their individual HbA1c target	
investigate unexplained discrepancies	0	0.36249999999999993	1	Investigate unexplained discrepancies between HbA1c and other glucose measurements	
eye screening service	0	0.34140000000000004	1	On diagnosis, GPs should immediately refer adults with type 2 diabetes to the local eye screening service	
eye screening systems	0	0.34140000000000004	1	Explain the reasons for, and success of, eye screening systems to adults with type 2 diabetes, so that attendance is not reduced by lack of knowledge or fear of outcome.	
local eye screening	0	0.34140000000000004	1	On diagnosis, GPs should immediately refer adults with type 2 diabetes to the local eye screening service	
screening service type	0	0.34140000000000004	0	
measure hba1c levels	0	0.32100000000000006	1	In adults with type 2 diabetes, measure HbA1c levels at: 3–6-monthly intervals (tailored to individual needs), until the HbA1c is stable on unchanging therapy 6-monthly intervals once the HbA1c level and blood glucose lowering therapy are stable.	
therapy 6-monthly intervals	0	0.32100000000000006	1	In adults with type 2 diabetes, measure HbA1c levels at: 3–6-monthly intervals (tailored to individual needs), until the HbA1c is stable on unchanging therapy 6-monthly intervals once the HbA1c level and blood glucose lowering therapy are stable.	
unchanging therapy 6-monthly	0	0.32100000000000006	1	In adults with type 2 diabetes, measure HbA1c levels at: 3–6-monthly intervals (tailored to individual needs), until the HbA1c is stable on unchanging therapy 6-monthly intervals once the HbA1c level and blood glucose lowering therapy are stable.	
blood glucose results	0	0.33720000000000006	1	The assessment should include: the person's self-monitoring skills the quality and frequency of testing checking that the person knows how to interpret the blood glucose results and what action to take the impact on the person's quality of life the continued benefit to the person the equipment used.	
estimated glomerular filtration	0	0.3327	1	In adults with type 2 diabetes, review the dose of metformin if the estimated glomerular filtration rate (eGFR) is below 45 ml minute m2:	
glomerular filtration rate	0	0.3327	1	In adults with type 2 diabetes, review the dose of metformin if the estimated glomerular filtration rate (eGFR) is below 45 ml minute m2:	
plasma glucose levels	0	0.3327	1	The MHRA advised that healthcare professionals should test for raised ketones in people with ketoacidosis symptoms who are receiving an SGLT-2 inhibitor, even if their plasma glucose levels are near-normal.	
minority ethnic groups	0	0.3294	1	If triple therapy with metformin and 2 other oral drugs (see recommendation ) is not effective, not tolerated or contraindicated, consider combination therapy with metformin, a sulfonylurea and a glucagon-like peptide-1 (GLP-1) mimetic for adults with type 2 diabetes who: have a BMI of 35 kg m2 or higher (adjust accordingly for people from black, Asian and other minority ethnic groups) and specific psychological or other medical problems associated with obesity or have a BMI lower than 35 kg m2and: for whom insulin therapy would have significant occupational implications or weight loss would benefit other significant obesity-related comorbidities.	
significant obesity-related comorbidities	0	0.3294	1	If triple therapy with metformin and 2 other oral drugs (see recommendation ) is not effective, not tolerated or contraindicated, consider combination therapy with metformin, a sulfonylurea and a glucagon-like peptide-1 (GLP-1) mimetic for adults with type 2 diabetes who: have a BMI of 35 kg m2 or higher (adjust accordingly for people from black, Asian and other minority ethnic groups) and specific psychological or other medical problems associated with obesity or have a BMI lower than 35 kg m2and: for whom insulin therapy would have significant occupational implications or weight loss would benefit other significant obesity-related comorbidities.	
significant occupational implications	0	0.3294	1	If triple therapy with metformin and 2 other oral drugs (see recommendation ) is not effective, not tolerated or contraindicated, consider combination therapy with metformin, a sulfonylurea and a glucagon-like peptide-1 (GLP-1) mimetic for adults with type 2 diabetes who: have a BMI of 35 kg m2 or higher (adjust accordingly for people from black, Asian and other minority ethnic groups) and specific psychological or other medical problems associated with obesity or have a BMI lower than 35 kg m2and: for whom insulin therapy would have significant occupational implications or weight loss would benefit other significant obesity-related comorbidities.	
active insulin dose	0	0.32889999999999997	1	When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
insulin dose titration	0	0.32889999999999997	1	When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
self-monitoring dose titration	0	0.32889999999999997	1	When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
support self-monitoring dose	0	0.32889999999999997	1	When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
telephone support self-monitoring	0	0.32889999999999997	1	When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
licensed non-metformin-based combination	0	0.08819999999999995	2	However, discuss with any person for whom repaglinide is being considered, that there is no licensed non-metformin-based combination containing repaglinide that can be offered at first intensification.	However, discuss with any person for whom repaglinide is being considered, that there is no licensed non-metformin-based combination containing repaglinide that can be offered at first intensification.	
basal bolus regimen	0	0.13790000000000002	1	Monitor adults with type 2 diabetes who are on pre-mixed (biphasic) insulin for the need for a further injection of short-acting insulin before meals or for a change to a basal bolus regimen with NPH insulin or insulin detemir or insulin glargine , if blood glucose control remains inadequate.	
blood pressure measurements	0	0.0706	1	Repeat blood pressure measurements within: 1 month if blood pressure is higher than 150 90 mmHg 2 months if blood pressure is higher than 140 80 mmHg 2 months if blood pressure is higher than 130 80 mmHg and there is kidney, eye or cerebrovascular damage.	
repeat blood pressure	0	0.0706	1	Repeat blood pressure measurements within: 1 month if blood pressure is higher than 150 90 mmHg 2 months if blood pressure is higher than 140 80 mmHg 2 months if blood pressure is higher than 130 80 mmHg and there is kidney, eye or cerebrovascular damage.	
human insulin preparations	0	0.0015999999999999348	1	Consider pre-mixed (biphasic) preparations that include short-acting insulin analogues, rather than pre-mixed (biphasic) preparations that include short-acting human insulin preparations, if: a person prefers injecting insulin immediately before a meal or hypoglycaemia is a problem or blood glucose levels rise markedly after meals.	
short-acting human insulin	0	0.0015999999999999348	1	Consider pre-mixed (biphasic) preparations that include short-acting insulin analogues, rather than pre-mixed (biphasic) preparations that include short-acting human insulin preparations, if: a person prefers injecting insulin immediately before a meal or hypoglycaemia is a problem or blood glucose levels rise markedly after meals.	
short-acting insulin analogues	0	0.0015999999999999348	1	Consider pre-mixed (biphasic) preparations that include short-acting insulin analogues, rather than pre-mixed (biphasic) preparations that include short-acting human insulin preparations, if: a person prefers injecting insulin immediately before a meal or hypoglycaemia is a problem or blood glucose levels rise markedly after meals.	
excess weight gain	0	-0.01970000000000005	1	For recommendations on lifestyle advice, see the NICE guidelines on: preventing excess weight gain, weight management, obesity, physical activity, smoking: brief interventions and referrals, stop smoking services, smoking: harm reduction, and smoking: acute, maternity and mental health services.	
mental health services	1	-0.01970000000000005	1	For recommendations on lifestyle advice, see the NICE guidelines on: preventing excess weight gain, weight management, obesity, physical activity, smoking: brief interventions and referrals, stop smoking services, smoking: harm reduction, and smoking: acute, maternity and mental health services.	
agency mhra guidance	0	-0.06940000000000013	1	Last updated May 2017 safety (see Medicines and Healthcare products Regulatory Agency MHRA guidance) and tolerability of the drug treatment(s) the person's individual clinical circumstances, for example, comorbidities, risks from polypharmacy the person's individual preferences and needs the licensed indications or combinations available cost (if 2 drugs in the same class are appropriate, choose the option with the lowest acquisition cost).	
individual clinical circumstances	0	-0.06940000000000013	1	Last updated May 2017 safety (see Medicines and Healthcare products Regulatory Agency MHRA guidance) and tolerability of the drug treatment(s) the person's individual clinical circumstances, for example, comorbidities, risks from polypharmacy the person's individual preferences and needs the licensed indications or combinations available cost (if 2 drugs in the same class are appropriate, choose the option with the lowest acquisition cost).	
metabolic response type	0	-0.06940000000000013	0	
regulatory agency mhra	0	-0.06940000000000013	1	Last updated May 2017 safety (see Medicines and Healthcare products Regulatory Agency MHRA guidance) and tolerability of the drug treatment(s) the person's individual clinical circumstances, for example, comorbidities, risks from polypharmacy the person's individual preferences and needs the licensed indications or combinations available cost (if 2 drugs in the same class are appropriate, choose the option with the lowest acquisition cost).	
single non-insulin blood	0	-0.0797000000000001	1	Treatment with a single non-insulin blood glucose lowering therapy (monotherapy)	
target hba1c level	0	-0.11469999999999991	1	Consider relaxing the target HbA1c level (see recommendations and )	
tight blood glucose	0	-0.11469999999999991	1	Last updated May 2017 on a case-by-case basis, with particular consideration for people who are older or frail, for adults with type 2 diabetes: who are unlikely to achieve longer-term risk-reduction benefits, for example, people with a reduced life expectancy for whom tight blood glucose control poses a high risk of the consequences of hypoglycaemia, for example, people who are at risk of falling, people who have impaired awareness of hypoglycaemia, and people who drive or operate machinery as part of their job for whom intensive management would not be appropriate, for example, people with significant comorbidities.	
basal insulin regimen	0	-0.4006	1	Monitor adults with type 2 diabetes who are on a basal insulin regimen (NPH insulin, insulin detemir or insulin glargine ) for the need for short-acting insulin before meals (or a pre-mixed biphasic insulin preparation).	
biphasic insulin preparation	0	-0.4006	1	Monitor adults with type 2 diabetes who are on a basal insulin regimen (NPH insulin, insulin detemir or insulin glargine ) for the need for short-acting insulin before meals (or a pre-mixed biphasic insulin preparation).	
pre-mixed biphasic insulin	0	-0.4006	1	Monitor adults with type 2 diabetes who are on a basal insulin regimen (NPH insulin, insulin detemir or insulin glargine ) for the need for short-acting insulin before meals (or a pre-mixed biphasic insulin preparation).	
nph insulin injections	0	-0.4122	1	Consider, as an alternative to NPH insulin, using insulin detemir or insulin glargine if: the person needs assistance from a carer or healthcare professional to inject insulin, and use of insulin detemir or insulin glargine would reduce the frequency of injections from twice to once daily or the person's lifestyle is restricted by recurrent symptomatic hypoglycaemic episodes or the person would otherwise need twice-daily NPH insulin injections in combination with oral glucose-lowering drugs.	
oral glucose-lowering drugs	0	-0.4122	1	Consider, as an alternative to NPH insulin, using insulin detemir or insulin glargine if: the person needs assistance from a carer or healthcare professional to inject insulin, and use of insulin detemir or insulin glargine would reduce the frequency of injections from twice to once daily or the person's lifestyle is restricted by recurrent symptomatic hypoglycaemic episodes or the person would otherwise need twice-daily NPH insulin injections in combination with oral glucose-lowering drugs.	
