1.2 diagnostic	1	-9.223372036854776E14	1	Bien que ce common.document ne détaille pas leurs pratiques spécifiques, cette recommandation peut également être utile à tous professionnels de santé et travailleurs sociaux (assistantes sociales, etc.) concernés par le thème, notamment dans la mesure où ils participent à la mise en uvre des traitements non médicamenteux, à l éducation thérapeutique du patient et au maintien de ses activités sociales et professionnelles1 Cfparagraphe 1.2 Diagnostic différentiel.
1.2 diagnostic différentiel	1	-9.223372036854776E14	1	Bien que ce common.document ne détaille pas leurs pratiques spécifiques, cette recommandation peut également être utile à tous professionnels de santé et travailleurs sociaux (assistantes sociales, etc.) concernés par le thème, notamment dans la mesure où ils participent à la mise en uvre des traitements non médicamenteux, à l éducation thérapeutique du patient et au maintien de ses activités sociales et professionnelles1 Cfparagraphe 1.2 Diagnostic différentiel.
abandons de traitement	0	-9.223372036854776E14	1	Au terme de l évaluation de l épisode dépressif caractérisé, il est recommandé :   d informer le patient sur la nature des troubles dépressifs, les effets bénéfiques du traitement et les effets indésirables éventuels, et, si nécessaire ou utile, d informer l entourage du patient avec son accord ;   d établir avec le patient un projet thérapeutique afin d éviter les abandons de traitement ;   de réévaluer régulièrement le projet thérapeutique, et le réajuster si nécessaire2.2 Suivi et conseils de mode de vie.	
absence	1	-9.223372036854776E14	4	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	L absence de gradation ne signifie pas que les recommandations ne sont pas pertinentes et utiles.	Facteurs psychosociaux Antécédents Caractéristiques cliniques   Solitude, isolement, précarité   Sexe masculin   Personne âgée ou jeune âge ( 30 ans)   Perte récente (décès, divorce, métier, situation sociale)   Autres facteurs de stress   Appartenance à une minorité sexuelle   Absence de facteurs protecteurs, manque de soutiens   Certaines professions (cumulant les risques psychosociaux et l accès à des moyens létaux)   Actes impulsifs et ou de violence   Tentative de suicide, d automutilation   Antécédent familial de suicide ou de pathologie mentale   Impulsivité   Dépression sévère   Désespoir, absence de désir de continuer   Douleur psychique   Psychose   Troubles de la personnalité   Anxiété sévère, agitation, attaque de panique   Baisse de l estime de soi   Abus de substances psychoactives, ou sevrage   Maladie somatique invalidante associée, présence de symptômes physiques (douleur chronique, insomnie, limitation fonctionnelle).	En l absence de critères d hospitalisation (cfparagraphe 1.6 Indications d hospitalisation), il est recommandé d instaurer le traitement antidépresseur d emblée et d orienter rapidement le patient vers un psychiatre pour une prise en charge associant une psychothérapie et un antidépresseur.	
absence de critères	1	-9.223372036854776E14	1	En l absence de critères d hospitalisation (cfparagraphe 1.6 Indications d hospitalisation), il est recommandé d instaurer le traitement antidépresseur d emblée et d orienter rapidement le patient vers un psychiatre pour une prise en charge associant une psychothérapie et un antidépresseur.	
absence de désir	1	-9.223372036854776E14	1	Facteurs psychosociaux Antécédents Caractéristiques cliniques   Solitude, isolement, précarité   Sexe masculin   Personne âgée ou jeune âge ( 30 ans)   Perte récente (décès, divorce, métier, situation sociale)   Autres facteurs de stress   Appartenance à une minorité sexuelle   Absence de facteurs protecteurs, manque de soutiens   Certaines professions (cumulant les risques psychosociaux et l accès à des moyens létaux)   Actes impulsifs et ou de violence   Tentative de suicide, d automutilation   Antécédent familial de suicide ou de pathologie mentale   Impulsivité   Dépression sévère   Désespoir, absence de désir de continuer   Douleur psychique   Psychose   Troubles de la personnalité   Anxiété sévère, agitation, attaque de panique   Baisse de l estime de soi   Abus de substances psychoactives, ou sevrage   Maladie somatique invalidante associée, présence de symptômes physiques (douleur chronique, insomnie, limitation fonctionnelle).	
absence de gradation	1	-9.223372036854776E14	1	L absence de gradation ne signifie pas que les recommandations ne sont pas pertinentes et utiles.	
abus	1	-9.223372036854776E14	2	Facteurs psychosociaux Antécédents Caractéristiques cliniques   Solitude, isolement, précarité   Sexe masculin   Personne âgée ou jeune âge ( 30 ans)   Perte récente (décès, divorce, métier, situation sociale)   Autres facteurs de stress   Appartenance à une minorité sexuelle   Absence de facteurs protecteurs, manque de soutiens   Certaines professions (cumulant les risques psychosociaux et l accès à des moyens létaux)   Actes impulsifs et ou de violence   Tentative de suicide, d automutilation   Antécédent familial de suicide ou de pathologie mentale   Impulsivité   Dépression sévère   Désespoir, absence de désir de continuer   Douleur psychique   Psychose   Troubles de la personnalité   Anxiété sévère, agitation, attaque de panique   Baisse de l estime de soi   Abus de substances psychoactives, ou sevrage   Maladie somatique invalidante associée, présence de symptômes physiques (douleur chronique, insomnie, limitation fonctionnelle).	La tianeptine et l agomélatine sont recommandées en troisième intention, en raison respectivement du risque d abus et de dépendance de la tianeptine et de la toxicité hépatique de l agomélatine.	
abus de substances	1	-9.223372036854776E14	1	Facteurs psychosociaux Antécédents Caractéristiques cliniques   Solitude, isolement, précarité   Sexe masculin   Personne âgée ou jeune âge ( 30 ans)   Perte récente (décès, divorce, métier, situation sociale)   Autres facteurs de stress   Appartenance à une minorité sexuelle   Absence de facteurs protecteurs, manque de soutiens   Certaines professions (cumulant les risques psychosociaux et l accès à des moyens létaux)   Actes impulsifs et ou de violence   Tentative de suicide, d automutilation   Antécédent familial de suicide ou de pathologie mentale   Impulsivité   Dépression sévère   Désespoir, absence de désir de continuer   Douleur psychique   Psychose   Troubles de la personnalité   Anxiété sévère, agitation, attaque de panique   Baisse de l estime de soi   Abus de substances psychoactives, ou sevrage   Maladie somatique invalidante associée, présence de symptômes physiques (douleur chronique, insomnie, limitation fonctionnelle).	
abus de substances psychoactives	1	-9.223372036854776E14	1	Facteurs psychosociaux Antécédents Caractéristiques cliniques   Solitude, isolement, précarité   Sexe masculin   Personne âgée ou jeune âge ( 30 ans)   Perte récente (décès, divorce, métier, situation sociale)   Autres facteurs de stress   Appartenance à une minorité sexuelle   Absence de facteurs protecteurs, manque de soutiens   Certaines professions (cumulant les risques psychosociaux et l accès à des moyens létaux)   Actes impulsifs et ou de violence   Tentative de suicide, d automutilation   Antécédent familial de suicide ou de pathologie mentale   Impulsivité   Dépression sévère   Désespoir, absence de désir de continuer   Douleur psychique   Psychose   Troubles de la personnalité   Anxiété sévère, agitation, attaque de panique   Baisse de l estime de soi   Abus de substances psychoactives, ou sevrage   Maladie somatique invalidante associée, présence de symptômes physiques (douleur chronique, insomnie, limitation fonctionnelle).	
accessibilité	1	-9.223372036854776E14	1	La décision du traitement doit se faire en concertation avec le patient, selon ses préférences et l accessibilité à une psychothérapie.	
accessibilité à une psychothérapie	1	-9.223372036854776E14	1	La décision du traitement doit se faire en concertation avec le patient, selon ses préférences et l accessibilité à une psychothérapie.	
accompagnement	0	-9.223372036854776E14	2	Le soutien psychothérapique propre à la relation de soins est une composante fondamentale du traitement de la dépression et cet accompagnement améliore l adhésion au traitement médicamenteux10 La thérapie de pleine conscience ( mindfulness ) est une TCC indiquée dans la prise en charge de la récidive (ré-currence) d un EDC.	L arrêt du traitement ne doit pas se faire à l initiative du patient ou de sa famille sans accompagnement médical.	
accompagnement médical	1	-9.223372036854776E14	1	L arrêt du traitement ne doit pas se faire à l initiative du patient ou de sa famille sans accompagnement médical.	
accord	0	-9.223372036854776E14	6	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	Il est recommandé de recueillir, si nécessaire, les informations complémentaires auprès de la famille ou des amis, avec l'accord du patient.	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	Au terme de l évaluation de l épisode dépressif caractérisé, il est recommandé :   d informer le patient sur la nature des troubles dépressifs, les effets bénéfiques du traitement et les effets indésirables éventuels, et, si nécessaire ou utile, d informer l entourage du patient avec son accord ;   d établir avec le patient un projet thérapeutique afin d éviter les abandons de traitement ;   de réévaluer régulièrement le projet thérapeutique, et le réajuster si nécessaire2.2 Suivi et conseils de mode de vie.	Lorsque cela est approprié et si le patient est d accord, il est recommandé d informer l entourage du patient sur les symptômes de la dépression, l évolution de la maladie et le traitement de la dépression.	
accord de la personne	1	-9.223372036854776E14	1	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	
accord de la personne suicidaire	1	-9.223372036854776E14	1	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	
accord du patient	1	-9.223372036854776E14	2	Il est recommandé de recueillir, si nécessaire, les informations complémentaires auprès de la famille ou des amis, avec l'accord du patient.	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	
accord du patient1.3.2	0	-9.223372036854776E14	1	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	
accord du patient1.3.2 outils	1	-9.223372036854776E14	1	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	
accord entre experts	1	-9.223372036854776E14	1	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	
accord entre experts du groupe	1	-9.223372036854776E14	1	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	
accord entre experts du groupe de travail	1	-9.223372036854776E14	1	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	
accréditation	1	-9.223372036854776E14	1	Anaes Agence nationale d'accréditation et d'évaluation en santé.	
accès	0	-9.223372036854776E14	5	L évaluation des idées et des intentions suicidaires doit inclure les éléments suivants :   le début, la durée, l intensité, la fréquence de ces idées suicidaires ;   l imminence du passage à l acte ;   les comportements préparatoires à la concrétisation du passage à l acte et de ses conséquences ;   la recherche et l accès à des moyens létaux.	Facteurs psychosociaux Antécédents Caractéristiques cliniques   Solitude, isolement, précarité   Sexe masculin   Personne âgée ou jeune âge ( 30 ans)   Perte récente (décès, divorce, métier, situation sociale)   Autres facteurs de stress   Appartenance à une minorité sexuelle   Absence de facteurs protecteurs, manque de soutiens   Certaines professions (cumulant les risques psychosociaux et l accès à des moyens létaux)   Actes impulsifs et ou de violence   Tentative de suicide, d automutilation   Antécédent familial de suicide ou de pathologie mentale   Impulsivité   Dépression sévère   Désespoir, absence de désir de continuer   Douleur psychique   Psychose   Troubles de la personnalité   Anxiété sévère, agitation, attaque de panique   Baisse de l estime de soi   Abus de substances psychoactives, ou sevrage   Maladie somatique invalidante associée, présence de symptômes physiques (douleur chronique, insomnie, limitation fonctionnelle).	Le patient en crise :   est décidé : sa planification est claire et le passage à l acte est prévu pour les jours qui viennent ;   est coupé de ses émotions : il rationalise sa décision ou est très émotif, agité, troublé ;   se sent complètement immobilisé par la dépression ou dans un état de grande agitation ;   a une douleur et une expression de la souffrance omniprésentes ou complètement tues ;   a un accès direct et immédiat à un moyen de se suicider ;   a le sentiment d avoir tout fait et tout essayé ;   est très isolé8 Cf.	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	L entourage est le principal fournisseur de ces types de soutien, incluant :   soutien émotionnel et aide pour la résolution de problèmes ;   assistance dans les activités de la vie quotidienne (exemple : courses alimentaires, exécution d une prescription) ;   procurer un lieu stable et sécurisé ou rester si besoin ;   encourager pour les soins personnels élémentaires (s alimenter régulièrement, hygiène, etc.) ;   encourager le patient à entreprendre des actes d autogestion ;   être une personne contact à appeler en cas de situation à haut risque ou de moment de stress ;   être positif en ce qui concerne la gestion des hauts et des bas , ainsi un incident ne sera pas une rechute ;   accès à des informations pour le patient et sa famille.	
accès aux moyens	0	-9.223372036854776E14	1	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	
accès aux moyens létaux	0	-9.223372036854776E14	1	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	
accès direct	0	-9.223372036854776E14	1	Le patient en crise :   est décidé : sa planification est claire et le passage à l acte est prévu pour les jours qui viennent ;   est coupé de ses émotions : il rationalise sa décision ou est très émotif, agité, troublé ;   se sent complètement immobilisé par la dépression ou dans un état de grande agitation ;   a une douleur et une expression de la souffrance omniprésentes ou complètement tues ;   a un accès direct et immédiat à un moyen de se suicider ;   a le sentiment d avoir tout fait et tout essayé ;   est très isolé8 Cf.	
accès direct et immédiat	1	-9.223372036854776E14	1	Le patient en crise :   est décidé : sa planification est claire et le passage à l acte est prévu pour les jours qui viennent ;   est coupé de ses émotions : il rationalise sa décision ou est très émotif, agité, troublé ;   se sent complètement immobilisé par la dépression ou dans un état de grande agitation ;   a une douleur et une expression de la souffrance omniprésentes ou complètement tues ;   a un accès direct et immédiat à un moyen de se suicider ;   a le sentiment d avoir tout fait et tout essayé ;   est très isolé8 Cf.	
