Expression multi-termes	C-Value																																																																										
diminution de l hyperglycémie	2.3219																																																																										
diminution de la mortalité	2.3219																																																																										
direction de la sécurité	2.3219																																																																										
données dans les sous-groupes	2.3219																																																																										
données sur l association	2.3219																																																																										
dosage de l hba1c	2.3219																																																																										
doses selon la prescription	2.3219																																																																										
durée sur le diabète	2.3219																																																																										
définition de l objectif	2.3219																																																																										
définition de nouvelles recommandations	2.3219																																																																										
déremboursement de la pioglitazone	2.3219																																																																										
déshydratation avec insuffisance rénale	2.3219																																																																										
effet des différents traitements	2.3219																																																																										
effets indésirables des traitements	2.3219																																																																										
et sans antécédent cardio-vasculaire	2.3219																																																																										
faible niveau de preuve	2.3219																																																																										
fait de l apparition	2.3219																																																																										
fixation d objectifs glycémiques	2.3219																																																																										
fonction des données nouvelles	2.3219																																																																										
fonction du schéma insulinique	2.3219																																																																										
gradation de la plupart	2.3219																																																																										
inhibiteurs des alphaglucosidases jusqu	2.3219																																																																										
initiation de l insulinothérapie	2.3219																																																																										
insuline intermédiaire ou analogue	2.3219																																																																										
intensification du contrôle glycémique	2.3219																																																																										
jour à l initiation	2.3219																																																																										
jusqu aux doses maximales	2.3219																																																																										
jusqu à 25 ml	2.3219																																																																										
l absence de données	2.3219																																																																										
l absence de remboursement	2.3219																																																																										
l administration de doses	2.3219																																																																										
l élaboration de recommandations	2.3219																																																																										
l état de santé	2.3219																																																																										
maladie des travailleurs salariés	2.3219																																																																										
maladie en trithérapie9 lors	2.3219																																																																										
marché de la rosiglitazone	2.3219																																																																										
mauvais état de santé	2.3219																																																																										
mesure de la qualité	2.3219																																																																										
metformine en première intention5	2.3219																																																																										
metformine et sulfamide hypoglycémiant	2.3219																																																																										
modification des mesures hygiéno-diététiques	2.3219																																																																										
modélisation de l efficience	2.3219																																																																										
mois à la dose	2.3219																																																																										
molécules dans la stratégie	2.3219																																																																										
molécules à élimination rénale	2.3219																																																																										
morbi-mortalité dans le diabète	2.3219																																																																										
médicaments antidiabétiques en comparaison	2.3219																																																																										
objectif pour la glycémie	2.3219																																																																										
objectif à court terme	2.3219																																																																										
particulier chez les patients	2.3219																																																																										
particulier pour la metformine	2.3219																																																																										
patient dans le cadre	2.3219																																																																										
patients avec une clairance	2.3219																																																																										
personnes âgées du fait	2.3219																																																																										
place des nouvelles molécules	2.3219																																																																										
point de vue décisionnel	2.3219																																																																										
pondération de la durée	2.3219																																																																										
portail upload docs application	2.3219																																																																										
posologie du sulfamide hypoglycémiant	2.3219																																																																										
pratique sur la stratégie	2.3219																																																																										
pratiques professionnelles service évaluation	2.3219																																																																										
prise en charge2.1 patients	2.3219																																																																										
profil clinique du patient	2.3219																																																																										
programme de travail 2009	2.3219																																																																										
prévention des complications aiguês	2.3219																																																																										
prévention des complications chroniques	2.3219																																																																										
publication des essais cliniques	2.3219																																																																										
qualité de la prise	2.3219																																																																										
recommandation de bonne pratique	2.3219																																																																										
recommandation sur l efficience	2.3219																																																																										
recommandations pour la pratique	2.3219																																																																										
recours à un endocrinologue	2.3219																																																																										
renforcement des mesures hygiéno-diététiques	2.3219																																																																										
règles de pratiques suivantes	2.3219																																																																										
règles pharmacologiques de prescription	2.3219																																																																										
réveil selon l objectif	2.3219																																																																										
saisine de la direction	2.3219																																																																										
santé après 75 ans1	2.3219																																																																										
santé dans une étude	2.3219																																																																										
santé publique janvier 2013	2.3219																																																																										
service des bonnes pratiques	2.3219																																																																										
sous-groupes de patients diabétiques	2.3219																																																																										
sulfamide hypoglycémiant en bithérapie	2.3219																																																																										
surveillance de la glycémie	2.3219																																																																										
synthèse de la recommandation	2.3219																																																																										
temps de l épisode	2.3219																																																																										
traitements chez les patients	2.3219																																																																										
traitements sur la morbi-mortalité	2.3219																																																																										
upload docs application pdf	2.3219																																																																										
vue décisionnel et fonctionnel	2.3219																																																																										
échec de la bithérapie	2.3219																																																																										
état de santé intermédiaire	2.3219																																																																										
##########end########## asg autosurveillance	2.0																																																																										
##########end########## b il	2.0																																																																										
##########end########## ce dernier	2.0																																																																										
##########end########## ces trois	2.0																																																																										
##########end########## cette prise	2.0																																																																										
##########end########## cette section	2.0																																																																										
##########end########## haute autorité	2.0																																																																										
##########end########## l absence	2.0																																																																										
##########end########## l analyse	2.0																																																																										
##########end########## l association	2.0																																																																										
##########end########## l autosurveillance	2.0																																																																										
##########end########## l intérêt	2.0																																																																										
##########end########## plusieurs caractéristiques	2.0																																																																										
##########end########## recommandation 1	2.0																																																																										
##########end########## recommandation 14	2.0																																																																										
##########end########## recommandation 16	2.0																																																																										
##########end########## recommandation 19b	2.0																																																																										
##########end########## recommandation 19c	2.0																																																																										
##########end########## recommandation 20	2.0																																																																										
##########end########## recommandation 28	2.0																																																																										
##########end########## recommandation 29	2.0																																																																										
##########end########## recommandation 2b	2.0																																																																										
##########end########## recommandation 2c	2.0																																																																										
##########end########## recommandation 30	2.0																																																																										
##########end########## recommandation 31	2.0																																																																										
##########end########## recommandation 33	2.0																																																																										
##########end########## recommandation 34	2.0																																																																										
##########end########## recommandation 35	2.0																																																																										
##########end########## recommandation 36	2.0																																																																										
##########end########## recommandation 38	2.0																																																																										
##########end########## recommandation 3b	2.0																																																																										
##########end########## recommandation 3c	2.0																																																																										
##########end########## recommandation 42	2.0																																																																										
##########end########## recommandation 4b	2.0																																																																										
##########end########## recommandation 5b	2.0																																																																										
##########end########## recommandation 6	2.0																																																																										
##########end########## recommandation 8	2.0																																																																										
##########end########## trois catégories	2.0																																																																										
2 mesures glycémiques	2.0																																																																										
2.5 patientes enceintes	2.0																																																																										
21.1 patients diabétiques	2.0																																																																										
25 ml min	2.0																																																																										
2b	2.0																																																																										
31 personnes âgées	2.0																																																																										
33 recommandée2.4 patients	2.0																																																																										
3a et 3b	2.0																																																																										
60 ml min	2.0																																																																										
absence de gradation	2.0																																																																										
absence de remboursement	2.0																																																																										
absence de traitement	2.0																																																																										
accidents vasculaires cérébraux	2.0																																																																										
accord entre experts	2.0																																																																										
administration de doses	2.0																																																																										
adultes	2.0																																																																										
adultes plus jeunes	2.0																																																																										
affection de longue	2.0																																																																										
alphaglucosidases ou inhibiteurs	2.0																																																																										
amaigrissement et flou	2.0																																																																										
amm	2.0																																																																										
amélioration des symptômes	2.0																																																																										
analogues du glp-1	2.0																																																																										
antidiabétiques en comparaison	2.0																																																																										
antidiabétiques non insuliniques	2.0																																																																										
antécédent	2.0																																																																										
apparition de nouvelles	2.0																																																																										
application des mesures	2.0																																																																										
application pdf 2009-06	2.0																																																																										
apprentissage	2.0																																																																										
asg autosurveillance glycémique	2.0																																																																										
association avec l	2.0																																																																										
autre classe thérapeutique	2.0																																																																										
autre traitement oral	2.0																																																																										
baisse des capacités	2.0																																																																										
besoin en fonction	2.0																																																																										
bon contrôle glycémique	2.0																																																																										
bonnes pratiques professionnelles	2.0																																																																										
bénéfices	2.0																																																																										
capillaires par jour	2.0																																																																										
caractéristiques du patient	2.0																																																																										
catégorie des malades	2.0																																																																										
catégories de personnes	2.0																																																																										
cette recommandation n	2.0																																																																										
cfannexe	2.0																																																																										
champ du contrôle	2.0																																																																										
charge des personnes	2.0																																																																										
charge du patient	2.0																																																																										
choix	2.0																																																																										
classes	2.0																																																																										
coma	2.0																																																																										
comparaison	2.0																																																																										
complications chroniques microvasculaires	2.0																																																																										
compte	2.0																																																																										
compte au cours	2.0																																																																										
connaissance des moyens	2.0																																																																										
consultation	2.0																																																																										
consultation du groupe	2.0																																																																										
conséquences plus délétères	2.0																																																																										
cours	2.0																																																																										
cours du temps	2.0																																																																										
coût	2.0																																																																										
critère de substitution	2.0																																																																										
critères de morbi-mortalité	2.0																																																																										
créatinine 45 ml	2.0																																																																										
d objectifs glycémiques	2.0																																																																										
de différentes stratégies	2.0																																																																										
difficulté	2.0																																																																										
différents médicaments antidiabétiques	2.0																																																																										
discussion du groupe	2.0																																																																										
docs application pdf	2.0																																																																										
données de morbi-mortalité	2.0																																																																										
dose initiale faible	2.0																																																																										
doses minimales recommandées	2.0																																																																										
dpp-4 puis analogues	2.0																																																																										
durée de vie	2.0																																																																										
décisionnel et fonctionnel	2.0																																																																										
définition de nouvelles	2.0																																																																										
déshydratation	2.0																																																																										
déshydratation avec insuffisance	2.0																																																																										
effet des différents	2.0																																																																										
efficience sur saisine	2.0																																																																										
endocrinologue	2.0																																																																										
espérance	2.0																																																																										
et sans antécédent	2.0																																																																										
experts du groupe	2.0																																																																										
fait	2.0																																																																										
fait de l	2.0																																																																										
familial et culturel	2.0																																																																										
femmes en âge	2.0																																																																										
finaux de morbi-mortalité	2.0																																																																										
fixation d objectifs	2.0																																																																										
fois par an	2.0																																																																										
fonction des bénéfices	2.0																																																																										
fonction des caractéristiques	2.0																																																																										
fonction des données	2.0																																																																										
fonction des glycémies	2.0																																																																										
fonction des résultats	2.0																																																																										
fonction du schéma	2.0																																																																										
fragiles ou malades	2.0																																																																										
glycémies au réveil	2.0																																																																										
glycémies capillaires préprandiales	2.0																																																																										
gradation	2.0																																																																										
grade des recommandations	2.0																																																																										
groupe de lecture	2.0																																																																										
guide	2.0																																																																										
génératrice de handicaps	2.0																																																																										
hiérarchisation des traitements	2.0																																																																										
horaire par rapport	2.0																																																																										
hyperglycémie	2.0																																																																										
hypoglycémiant en bithérapie	2.0																																																																										
hypoglycémie et conséquences	2.0																																																																										
imc	2.0																																																																										
infarctus du myocarde	2.0																																																																										
instauration	2.0																																																																										
insuffisance rénale fonctionnelle	2.0																																																																										
intensification	2.0																																																																										
intensification du contrôle	2.0																																																																										
intermédiaire ou analogue	2.0																																																																										
intérêt	2.0																																																																										
jour à l	2.0																																																																										
jours en fonction	2.0																																																																										
jusqu aux doses	2.0																																																																										
l assurance maladie	2.0																																																																										
l insuffisance rénale	2.0																																																																										
limitations fonctionnelles motrices	2.0																																																																										
littérature	2.0																																																																										
long	2.0																																																																										
m 2.5 patientes	2.0																																																																										
maladie des travailleurs	2.0																																																																										
maladie en trithérapie9	2.0																																																																										
membres	2.0																																																																										
membres du groupe	2.0																																																																										
mesures glycémiques capillaires	2.0																																																																										
metformine en monothérapie	2.0																																																																										
metformine et sulfamide	2.0																																																																										
min	2.0																																																																										
ml min 1,73m	2.0																																																																										
modification des mesures	2.0																																																																										
modélisation de l	2.0																																																																										
mois	2.0																																																																										
molécules à élimination	2.0																																																																										
morbi-mortalité du diabète	2.0																																																																										
mortalité	2.0																																																																										
motrices et cognitives	2.0																																																																										
médicament	2.0																																																																										
niveau de preuve	2.0																																																																										
nombre de prises	2.0																																																																										
néphropathie et neuropathie	2.0																																																																										
objectif à court	2.0																																																																										
objectifs glycémiques clairs	2.0																																																																										
objectifs glycémiques optimaux	2.0																																																																										
objet	2.0																																																																										
particulier	2.0																																																																										
patient non répondeur5	2.0																																																																										
patientes	2.0																																																																										
pdf 2009-06 chutes_repetees_personnes_agees_-_argumentaire.pdf	2.0																																																																										
personnes âgées fragiles	2.0																																																																										
pertinentes et utiles	2.0																																																																										
pharmacologiques de prescription	2.0																																																																										
place des nouvelles	2.0																																																																										
plupart des recommandations4	2.0																																																																										
point de vue	2.0																																																																										
population	2.0																																																																										
portail upload docs	2.0																																																																										
posologie du sulfamide	2.0																																																																										
pratiques	2.0																																																																										
pratiques professionnelles service	2.0																																																																										
preuve	2.0																																																																										
preuve de discernement	2.0																																																																										
preuve des données	2.0																																																																										
prise en charge2.1	2.0																																																																										
professionnel de santé	2.0																																																																										
profil du patient	2.0																																																																										
programme de travail	2.0																																																																										
pronostic	2.0																																																																										
présentation plus détaillée)3	2.0																																																																										
prévention des hypoglycémies	2.0																																																																										
publication des essais	2.0																																																																										
publique janvier 2013	2.0																																																																										
quatre sous-populations particulières	2.0																																																																										
rapport	2.0																																																																										
rapport aux repas	2.0																																																																										
recommandation 16 recommandation	2.0																																																																										
recommandation 19b hypoglycémiant	2.0																																																																										
recommandation 19c hypoglycémiant	2.0																																																																										
recommandation 20 inhibiteurs	2.0																																																																										
recommandation 29 déshydratation	2.0																																																																										
recommandation 31 personnes	2.0																																																																										
recommandation 33 recommandée2.4	2.0																																																																										
recommandation 3b 8	2.0																																																																										
recommandation 3c aiguës	2.0																																																																										
recommandation de bonne	2.0																																																																										
recommandation sur l	2.0																																																																										
recommandée1.5 patientes enceintes	2.0																																																																										
renforcement des mesures	2.0																																																																										
repas	2.0																																																																										
respect des contre-indications	2.0																																																																										
retrait du marché	2.0																																																																										
risque	2.0																																																																										
rythme	2.0																																																																										
rythme des consultations	2.0																																																																										
rythme des repas	2.0																																																																										
règles	2.0																																																																										
règles de pratiques	2.0																																																																										
répaglinide	2.0																																																																										
réserve du respect	2.0																																																																										
résultats de santé	2.0																																																																										
réveil selon l	2.0																																																																										
réévaluation du traitement	2.0																																																																										
santé en raison	2.0																																																																										
santé publique janvier	2.0																																																																										
service des bonnes	2.0																																																																										
service évaluation économique	2.0																																																																										
seules classes thérapeutiques	2.0																																																																										
situation	2.0																																																																										
sous-groupes de patients	2.0																																																																										
survenue	2.0																																																																										
temps	2.0																																																																										
temps de l	2.0																																																																										
terme	2.0																																																																										
terme de diminution	2.0																																																																										
thème du diabète	2.0																																																																										
traitement par insuline	2.0																																																																										
traités par insuline	2.0																																																																										
trois aspects majeurs	2.0																																																																										
type 2 traités	2.0																																																																										
type 21.1 patients	2.0																																																																										
téléchargeables sur www.has-sante.fr	2.0																																																																										
ui	2.0																																																																										
upload docs application	2.0																																																																										
uvre	2.0																																																																										
validation du taux	2.0																																																																										
www.has-sante.fr portail upload	2.0																																																																										
échec	2.0																																																																										
éducation	2.0																																																																										
élaboration	2.0																																																																										
étape de traitement	2.0																																																																										
états de santé	2.0																																																																										
études	2.0																																																																										
évolution du diabète	2.0																																																																										
##########end########## afin	1.585																																																																										
##########end########## asg	1.585																																																																										
##########end########## certaines	1.585																																																																										
##########end########## haute	1.585																																																																										
##########end########## objectif	1.585																																																																										
##########end########## plusieurs	1.585																																																																										
